prev_2_a,prev_2_b,next,count,total_context_count,prob_next_given_prev2_confirmed
IN_DOWN,IN_DOWN,IN_DOWN,19,29,0.6552
IN_DOWN,IN_DOWN,OUT_DOWN,6,29,0.2069
IN_DOWN,IN_DOWN,IN_UP,3,29,0.1034
IN_DOWN,IN_DOWN,OUT_UP,1,29,0.0345
IN_DOWN,IN_UP,IN_UP,3,3,1.0000
IN_DOWN,OUT_DOWN,IN_DOWN,4,4,1.0000
IN_UP,IN_DOWN,IN_DOWN,3,3,1.0000
IN_UP,IN_UP,IN_UP,17,29,0.5862
IN_UP,IN_UP,OUT_UP,5,29,0.1724
IN_UP,IN_UP,OUT_DOWN,4,29,0.1379
IN_UP,IN_UP,IN_DOWN,3,29,0.1034
IN_UP,OUT_UP,IN_UP,3,3,1.0000
OUT_DOWN,IN_DOWN,IN_DOWN,10,10,1.0000
OUT_UP,IN_UP,IN_UP,7,7,1.0000
