prev_2_a,prev_2_b,next_signal,signal_type,count,total_context_count,prob_signal_given_prev2
IN_DOWN,IN_DOWN,IN_DOWN,PATTERN,19,32,0.5938
IN_DOWN,IN_DOWN,IN_UP,PATTERN,5,32,0.1562
IN_DOWN,IN_DOWN,OUT_DOWN,PATTERN,4,32,0.1250
IN_DOWN,IN_DOWN,SWING_HIGH,SWING,4,32,0.1250
IN_DOWN,IN_UP,IN_UP,PATTERN,5,5,1.0000
IN_DOWN,OUT_DOWN,IN_DOWN,PATTERN,4,4,1.0000
IN_UP,IN_DOWN,IN_DOWN,PATTERN,3,3,1.0000
IN_UP,IN_UP,IN_UP,PATTERN,21,33,0.6364
IN_UP,IN_UP,SWING_LOW,SWING,5,33,0.1515
IN_UP,IN_UP,OUT_UP,PATTERN,4,33,0.1212
IN_UP,IN_UP,IN_DOWN,PATTERN,3,33,0.0909
IN_UP,OUT_UP,IN_UP,PATTERN,4,4,1.0000
OUT_DOWN,IN_DOWN,IN_DOWN,PATTERN,10,10,1.0000
OUT_UP,IN_UP,IN_UP,PATTERN,8,8,1.0000
