index,price,type,date,pattern_role,classification,trend_type,point_label
0,595.0,LOW,2013-10-03,,,,
1,897.0,HIGH,2013-12-18,,,,
2,774.0,LOW,2014-02-06,0,OUT,UPTREND,OUT_UP
3,808.0,HIGH,2014-02-13,1,IN,UPTREND,IN_UP
4,785.0,LOW,2014-02-17,2,IN,UPTREND,IN_UP
5,810.0,HIGH,2014-02-23,3,IN,UPTREND,IN_UP
6,700.0,LOW,2014-03-18,,,,
7,991.0,HIGH,2014-07-13,,,,
8,726.0,LOW,2014-09-07,0,OUT,UPTREND,OUT_UP
9,785.0,HIGH,2014-10-20,1,IN,UPTREND,IN_UP
10,773.0,LOW,2014-10-21,2,IN,UPTREND,IN_UP
11,822.0,HIGH,2014-10-28,0,IN,DOWNTREND,IN_DOWN
12,710.0,LOW,2014-11-18,1,IN,DOWNTREND,IN_DOWN
13,800.0,HIGH,2014-12-14,2,IN,DOWNTREND,IN_DOWN
14,649.0,LOW,2014-12-23,3,IN,DOWNTREND,IN_DOWN
15,705.0,HIGH,2015-02-01,0,OUT,DOWNTREND,OUT_DOWN
16,660.0,LOW,2015-02-24,1,IN,DOWNTREND,IN_DOWN
17,691.0,HIGH,2015-03-09,2,IN,DOWNTREND,IN_DOWN
18,637.0,LOW,2015-03-30,3,IN,DOWNTREND,IN_DOWN
19,661.0,HIGH,2015-04-13,0,OUT,DOWNTREND,OUT_DOWN
20,650.0,LOW,2015-04-16,1,IN,DOWNTREND,IN_DOWN
21,660.0,HIGH,2015-04-19,0,IN,DOWNTREND,IN_DOWN
22,648.0,LOW,2015-04-20,1,IN,DOWNTREND,IN_DOWN
23,658.0,HIGH,2015-04-21,2,IN,DOWNTREND,IN_DOWN
24,529.0,LOW,2015-05-27,0,IN,UPTREND,IN_UP
25,665.0,HIGH,2015-06-09,1,IN,UPTREND,IN_UP
26,605.0,LOW,2015-07-05,0,IN,UPTREND,IN_UP
27,993.0,HIGH,2015-10-01,3,IN,UPTREND,IN_UP
28,787.0,LOW,2015-11-29,2,IN,UPTREND,IN_UP
29,1052.0,HIGH,2015-12-21,3,IN,UPTREND,IN_UP
30,700.0,LOW,2016-01-10,,,,
31,959.0,HIGH,2016-05-09,,,,
32,718.0,LOW,2016-06-05,,,,
33,914.0,HIGH,2016-07-27,,,,
34,791.0,LOW,2016-08-08,0,OUT,UPTREND,OUT_UP
35,854.0,HIGH,2016-08-09,1,IN,UPTREND,IN_UP
36,805.0,LOW,2016-08-22,2,IN,UPTREND,IN_UP
37,912.0,HIGH,2016-09-06,3,IN,UPTREND,IN_UP
38,407.0,LOW,2017-02-14,0,OUT,UPTREND,OUT_UP
39,449.0,HIGH,2017-03-19,1,IN,UPTREND,IN_UP
40,424.0,LOW,2017-03-20,2,IN,UPTREND,IN_UP
41,515.0,HIGH,2017-04-11,3,IN,UPTREND,IN_UP
42,427.0,LOW,2017-07-02,,,,
43,474.0,HIGH,2017-07-18,0,OUT,DOWNTREND,OUT_DOWN
44,455.0,LOW,2017-08-23,1,IN,DOWNTREND,IN_DOWN
45,470.0,HIGH,2017-08-27,0,IN,DOWNTREND,IN_DOWN
