prev_2_a,prev_2_b,next,count,total_context_count,prob_next_given_prev2
IN_DOWN,IN_DOWN,IN_DOWN,19,31,0.6129
IN_DOWN,IN_DOWN,OUT_DOWN,6,31,0.1935
IN_DOWN,IN_DOWN,IN_UP,5,31,0.1613
IN_DOWN,IN_DOWN,OUT_UP,1,31,0.0323
IN_DOWN,IN_UP,IN_UP,5,5,1.0000
IN_DOWN,OUT_DOWN,IN_DOWN,4,4,1.0000
IN_UP,IN_DOWN,IN_DOWN,3,3,1.0000
IN_UP,IN_UP,IN_UP,21,34,0.6176
IN_UP,IN_UP,OUT_UP,6,34,0.1765
IN_UP,IN_UP,OUT_DOWN,4,34,0.1176
IN_UP,IN_UP,IN_DOWN,3,34,0.0882
IN_UP,OUT_UP,IN_UP,4,4,1.0000
OUT_DOWN,IN_DOWN,IN_DOWN,10,10,1.0000
OUT_UP,IN_UP,IN_UP,8,8,1.0000
