prev_2_a,prev_2_b,path_result,count,total_context_count,prob_path_given_prev2
IN_DOWN,IN_DOWN,IN_DOWN,19,31,0.6129
IN_DOWN,IN_DOWN,IN_UP,5,31,0.1613
IN_DOWN,IN_DOWN,OUT_DOWN,4,31,0.1290
IN_DOWN,IN_DOWN,INVALID_UP -> INVALID_DOWN -> OUT_DOWN,2,31,0.0645
IN_DOWN,IN_DOWN,INVALID_UP -> OUT_UP,1,31,0.0323
IN_DOWN,IN_UP,IN_UP,5,5,1.0000
IN_DOWN,OUT_DOWN,IN_DOWN,4,4,1.0000
IN_UP,IN_DOWN,IN_DOWN,3,3,1.0000
IN_UP,IN_UP,IN_UP,21,34,0.6176
IN_UP,IN_UP,INVALID_DOWN -> OUT_DOWN,4,34,0.1176
IN_UP,IN_UP,OUT_UP,4,34,0.1176
IN_UP,IN_UP,IN_DOWN,3,34,0.0882
IN_UP,IN_UP,INVALID_DOWN -> INVALID_UP -> INVALID_DOWN -> INVALID_UP -> OUT_UP,1,34,0.0294
IN_UP,IN_UP,INVALID_DOWN -> INVALID_UP -> OUT_UP,1,34,0.0294
IN_UP,OUT_UP,IN_UP,4,4,1.0000
OUT_DOWN,IN_DOWN,IN_DOWN,10,10,1.0000
OUT_UP,IN_UP,IN_UP,8,8,1.0000
