pattern_token,trend_type,idx_0,idx_1,idx_2,idx_3,date_0,date_1,date_2,date_3,date_0_label,date_1_label,date_2_label,date_3_label
OUT_UP,UPTREND,2,3,4,5,2014-02-06,2014-02-13,2014-02-17,2014-02-23,06 Feb 2014,13 Feb 2014,17 Feb 2014,23 Feb 2014
OUT_UP,UPTREND,8,9,10,11,2014-09-07,2014-10-20,2014-10-21,2014-10-28,07 Sep 2014,20 Oct 2014,21 Oct 2014,28 Oct 2014
IN_DOWN,DOWNTREND,11,12,13,14,2014-10-28,2014-11-18,2014-12-14,2014-12-23,28 Oct 2014,18 Nov 2014,14 Dec 2014,23 Dec 2014
OUT_DOWN,DOWNTREND,15,16,17,18,2015-02-01,2015-02-24,2015-03-09,2015-03-30,01 Feb 2015,24 Feb 2015,09 Mar 2015,30 Mar 2015
OUT_DOWN,DOWNTREND,19,20,21,22,2015-04-13,2015-04-16,2015-04-19,2015-04-20,13 Apr 2015,16 Apr 2015,19 Apr 2015,20 Apr 2015
IN_DOWN,DOWNTREND,21,22,23,24,2015-04-19,2015-04-20,2015-04-21,2015-05-27,19 Apr 2015,20 Apr 2015,21 Apr 2015,27 May 2015
IN_UP,UPTREND,24,25,26,27,2015-05-27,2015-06-09,2015-07-05,2015-10-01,27 May 2015,09 Jun 2015,05 Jul 2015,01 Oct 2015
IN_UP,UPTREND,26,27,28,29,2015-07-05,2015-10-01,2015-11-29,2015-12-21,05 Jul 2015,01 Oct 2015,29 Nov 2015,21 Dec 2015
OUT_UP,UPTREND,34,35,36,37,2016-08-08,2016-08-09,2016-08-22,2016-09-06,08 Aug 2016,09 Aug 2016,22 Aug 2016,06 Sep 2016
OUT_UP,UPTREND,38,39,40,41,2017-02-14,2017-03-19,2017-03-20,2017-04-11,14 Feb 2017,19 Mar 2017,20 Mar 2017,11 Apr 2017
OUT_DOWN,DOWNTREND,43,44,45,46,2017-07-18,2017-08-23,2017-08-27,2017-09-10,18 Jul 2017,23 Aug 2017,27 Aug 2017,10 Sep 2017
IN_DOWN,DOWNTREND,45,46,47,48,2017-08-27,2017-09-10,2017-11-30,2018-01-03,27 Aug 2017,10 Sep 2017,30 Nov 2017,03 Jan 2018
IN_UP,UPTREND,48,49,50,51,2018-01-03,2018-02-04,2018-02-07,2018-02-18,03 Jan 2018,04 Feb 2018,07 Feb 2018,18 Feb 2018
OUT_DOWN,DOWNTREND,53,54,55,56,2018-04-22,2018-07-02,2018-08-05,2018-08-12,22 Apr 2018,02 Jul 2018,05 Aug 2018,12 Aug 2018
OUT_UP,UPTREND,58,59,60,61,2018-12-06,2019-01-16,2019-02-24,2019-04-25,06 Dec 2018,16 Jan 2019,24 Feb 2019,25 Apr 2019
IN_DOWN,DOWNTREND,61,62,63,64,2019-04-25,2019-07-14,2019-07-24,2019-09-26,25 Apr 2019,14 Jul 2019,24 Jul 2019,26 Sep 2019
IN_UP,UPTREND,64,65,66,67,2019-09-26,2019-12-15,2019-12-30,2020-02-27,26 Sep 2019,15 Dec 2019,30 Dec 2019,27 Feb 2020
OUT_UP,UPTREND,68,69,70,71,2020-05-13,2020-07-19,2020-09-30,2020-11-24,13 May 2020,19 Jul 2020,30 Sep 2020,24 Nov 2020
IN_UP,UPTREND,70,71,72,73,2020-09-30,2020-11-24,2020-12-09,2021-02-18,30 Sep 2020,24 Nov 2020,09 Dec 2020,18 Feb 2021
IN_UP,UPTREND,72,73,74,75,2020-12-09,2021-02-18,2021-03-15,2021-04-15,09 Dec 2020,18 Feb 2021,15 Mar 2021,15 Apr 2021
OUT_DOWN,DOWNTREND,77,78,79,80,2021-05-23,2021-06-02,2021-06-06,2021-06-21,23 May 2021,02 Jun 2021,06 Jun 2021,21 Jun 2021
OUT_DOWN,DOWNTREND,83,84,85,86,2021-10-31,2021-11-11,2021-11-17,2021-12-13,31 Oct 2021,11 Nov 2021,17 Nov 2021,13 Dec 2021
