prev_2_a,prev_2_b,next,count,total_context_count,prob_next_pattern_given_prev2
IN_DOWN,IN_UP,OUT_UP,2,4,0.5000
IN_DOWN,IN_UP,IN_UP,1,4,0.2500
IN_DOWN,IN_UP,OUT_DOWN,1,4,0.2500
IN_DOWN,OUT_DOWN,IN_DOWN,1,2,0.5000
IN_DOWN,OUT_DOWN,OUT_DOWN,1,2,0.5000
IN_UP,IN_DOWN,OUT_DOWN,1,1,1.0000
IN_UP,IN_UP,OUT_DOWN,1,2,0.5000
IN_UP,IN_UP,OUT_UP,1,2,0.5000
IN_UP,OUT_DOWN,OUT_DOWN,1,2,0.5000
IN_UP,OUT_DOWN,OUT_UP,1,2,0.5000
IN_UP,OUT_UP,OUT_UP,2,3,0.6667
IN_UP,OUT_UP,IN_UP,1,3,0.3333
OUT_DOWN,IN_DOWN,IN_UP,3,4,0.7500
OUT_DOWN,IN_DOWN,OUT_DOWN,1,4,0.2500
OUT_DOWN,IN_UP,IN_DOWN,1,1,1.0000
OUT_DOWN,OUT_DOWN,IN_DOWN,2,3,0.6667
OUT_DOWN,OUT_DOWN,OUT_DOWN,1,3,0.3333
OUT_DOWN,OUT_UP,IN_DOWN,1,1,1.0000
OUT_UP,IN_DOWN,IN_UP,1,2,0.5000
OUT_UP,IN_DOWN,OUT_DOWN,1,2,0.5000
OUT_UP,IN_UP,IN_UP,1,1,1.0000
OUT_UP,OUT_DOWN,IN_DOWN,1,2,0.5000
OUT_UP,OUT_DOWN,IN_UP,1,2,0.5000
OUT_UP,OUT_UP,OUT_DOWN,2,3,0.6667
OUT_UP,OUT_UP,IN_DOWN,1,3,0.3333
