prev_2_a,prev_2_b,next,a_date_0,a_date_3,b_date_0,b_date_3,c_date_0,c_date_3,a_date_0_label,a_date_3_label,b_date_0_label,b_date_3_label,c_date_0_label,c_date_3_label
OUT_UP,OUT_UP,IN_DOWN,2014-02-06,2014-02-23,2014-09-07,2014-10-28,2014-10-28,2014-12-23,06 Feb 2014,23 Feb 2014,07 Sep 2014,28 Oct 2014,28 Oct 2014,23 Dec 2014
OUT_UP,IN_DOWN,OUT_DOWN,2014-09-07,2014-10-28,2014-10-28,2014-12-23,2015-02-01,2015-03-30,07 Sep 2014,28 Oct 2014,28 Oct 2014,23 Dec 2014,01 Feb 2015,30 Mar 2015
IN_DOWN,OUT_DOWN,OUT_DOWN,2014-10-28,2014-12-23,2015-02-01,2015-03-30,2015-04-13,2015-04-20,28 Oct 2014,23 Dec 2014,01 Feb 2015,30 Mar 2015,13 Apr 2015,20 Apr 2015
OUT_DOWN,OUT_DOWN,IN_DOWN,2015-02-01,2015-03-30,2015-04-13,2015-04-20,2015-04-19,2015-05-27,01 Feb 2015,30 Mar 2015,13 Apr 2015,20 Apr 2015,19 Apr 2015,27 May 2015
OUT_DOWN,IN_DOWN,IN_UP,2015-04-13,2015-04-20,2015-04-19,2015-05-27,2015-05-27,2015-10-01,13 Apr 2015,20 Apr 2015,19 Apr 2015,27 May 2015,27 May 2015,01 Oct 2015
IN_DOWN,IN_UP,IN_UP,2015-04-19,2015-05-27,2015-05-27,2015-10-01,2015-07-05,2015-12-21,19 Apr 2015,27 May 2015,27 May 2015,01 Oct 2015,05 Jul 2015,21 Dec 2015
IN_UP,IN_UP,OUT_UP,2015-05-27,2015-10-01,2015-07-05,2015-12-21,2016-08-08,2016-09-06,27 May 2015,01 Oct 2015,05 Jul 2015,21 Dec 2015,08 Aug 2016,06 Sep 2016
IN_UP,OUT_UP,OUT_UP,2015-07-05,2015-12-21,2016-08-08,2016-09-06,2017-02-14,2017-04-11,05 Jul 2015,21 Dec 2015,08 Aug 2016,06 Sep 2016,14 Feb 2017,11 Apr 2017
OUT_UP,OUT_UP,OUT_DOWN,2016-08-08,2016-09-06,2017-02-14,2017-04-11,2017-07-18,2017-09-10,08 Aug 2016,06 Sep 2016,14 Feb 2017,11 Apr 2017,18 Jul 2017,10 Sep 2017
OUT_UP,OUT_DOWN,IN_DOWN,2017-02-14,2017-04-11,2017-07-18,2017-09-10,2017-08-27,2018-01-03,14 Feb 2017,11 Apr 2017,18 Jul 2017,10 Sep 2017,27 Aug 2017,03 Jan 2018
OUT_DOWN,IN_DOWN,IN_UP,2017-07-18,2017-09-10,2017-08-27,2018-01-03,2018-01-03,2018-02-18,18 Jul 2017,10 Sep 2017,27 Aug 2017,03 Jan 2018,03 Jan 2018,18 Feb 2018
IN_DOWN,IN_UP,OUT_DOWN,2017-08-27,2018-01-03,2018-01-03,2018-02-18,2018-04-22,2018-08-12,27 Aug 2017,03 Jan 2018,03 Jan 2018,18 Feb 2018,22 Apr 2018,12 Aug 2018
IN_UP,OUT_DOWN,OUT_UP,2018-01-03,2018-02-18,2018-04-22,2018-08-12,2018-12-06,2019-04-25,03 Jan 2018,18 Feb 2018,22 Apr 2018,12 Aug 2018,06 Dec 2018,25 Apr 2019
OUT_DOWN,OUT_UP,IN_DOWN,2018-04-22,2018-08-12,2018-12-06,2019-04-25,2019-04-25,2019-09-26,22 Apr 2018,12 Aug 2018,06 Dec 2018,25 Apr 2019,25 Apr 2019,26 Sep 2019
OUT_UP,IN_DOWN,IN_UP,2018-12-06,2019-04-25,2019-04-25,2019-09-26,2019-09-26,2020-02-27,06 Dec 2018,25 Apr 2019,25 Apr 2019,26 Sep 2019,26 Sep 2019,27 Feb 2020
IN_DOWN,IN_UP,OUT_UP,2019-04-25,2019-09-26,2019-09-26,2020-02-27,2020-05-13,2020-11-24,25 Apr 2019,26 Sep 2019,26 Sep 2019,27 Feb 2020,13 May 2020,24 Nov 2020
IN_UP,OUT_UP,IN_UP,2019-09-26,2020-02-27,2020-05-13,2020-11-24,2020-09-30,2021-02-18,26 Sep 2019,27 Feb 2020,13 May 2020,24 Nov 2020,30 Sep 2020,18 Feb 2021
OUT_UP,IN_UP,IN_UP,2020-05-13,2020-11-24,2020-09-30,2021-02-18,2020-12-09,2021-04-15,13 May 2020,24 Nov 2020,30 Sep 2020,18 Feb 2021,09 Dec 2020,15 Apr 2021
IN_UP,IN_UP,OUT_DOWN,2020-09-30,2021-02-18,2020-12-09,2021-04-15,2021-05-23,2021-06-21,30 Sep 2020,18 Feb 2021,09 Dec 2020,15 Apr 2021,23 May 2021,21 Jun 2021
IN_UP,OUT_DOWN,OUT_DOWN,2020-12-09,2021-04-15,2021-05-23,2021-06-21,2021-10-31,2021-12-13,09 Dec 2020,15 Apr 2021,23 May 2021,21 Jun 2021,31 Oct 2021,13 Dec 2021
OUT_DOWN,OUT_DOWN,OUT_DOWN,2021-05-23,2021-06-21,2021-10-31,2021-12-13,2022-01-20,2022-07-11,23 May 2021,21 Jun 2021,31 Oct 2021,13 Dec 2021,20 Jan 2022,11 Jul 2022
OUT_DOWN,OUT_DOWN,IN_DOWN,2021-10-31,2021-12-13,2022-01-20,2022-07-11,2022-05-12,2022-09-20,31 Oct 2021,13 Dec 2021,20 Jan 2022,11 Jul 2022,12 May 2022,20 Sep 2022
OUT_DOWN,IN_DOWN,IN_UP,2022-01-20,2022-07-11,2022-05-12,2022-09-20,2022-09-20,2023-01-19,20 Jan 2022,11 Jul 2022,12 May 2022,20 Sep 2022,20 Sep 2022,19 Jan 2023
IN_DOWN,IN_UP,OUT_UP,2022-05-12,2022-09-20,2022-09-20,2023-01-19,2023-03-23,2023-07-23,12 May 2022,20 Sep 2022,20 Sep 2022,19 Jan 2023,23 Mar 2023,23 Jul 2023
IN_UP,OUT_UP,OUT_UP,2022-09-20,2023-01-19,2023-03-23,2023-07-23,2023-08-08,2023-08-23,20 Sep 2022,19 Jan 2023,23 Mar 2023,23 Jul 2023,08 Aug 2023,23 Aug 2023
OUT_UP,OUT_UP,OUT_DOWN,2023-03-23,2023-07-23,2023-08-08,2023-08-23,2023-09-13,2024-05-06,23 Mar 2023,23 Jul 2023,08 Aug 2023,23 Aug 2023,13 Sep 2023,06 May 2024
OUT_UP,OUT_DOWN,IN_UP,2023-08-08,2023-08-23,2023-09-13,2024-05-06,2024-05-06,2024-07-28,08 Aug 2023,23 Aug 2023,13 Sep 2023,06 May 2024,06 May 2024,28 Jul 2024
OUT_DOWN,IN_UP,IN_DOWN,2023-09-13,2024-05-06,2024-05-06,2024-07-28,2024-07-28,2025-01-27,13 Sep 2023,06 May 2024,06 May 2024,28 Jul 2024,28 Jul 2024,27 Jan 2025
IN_UP,IN_DOWN,OUT_DOWN,2024-05-06,2024-07-28,2024-07-28,2025-01-27,2025-03-02,2025-05-18,06 May 2024,28 Jul 2024,28 Jul 2024,27 Jan 2025,02 Mar 2025,18 May 2025
IN_DOWN,OUT_DOWN,IN_DOWN,2024-07-28,2025-01-27,2025-03-02,2025-05-18,2025-04-17,2025-06-24,28 Jul 2024,27 Jan 2025,02 Mar 2025,18 May 2025,17 Apr 2025,24 Jun 2025
OUT_DOWN,IN_DOWN,OUT_DOWN,2025-03-02,2025-05-18,2025-04-17,2025-06-24,2025-11-27,2025-12-22,02 Mar 2025,18 May 2025,17 Apr 2025,24 Jun 2025,27 Nov 2025,22 Dec 2025
