prev_2,total_context_count,top_next,top_next_count,top_next_prob,entropy,stability,score_count_x_prob
IN_UP|IN_UP,34,IN_UP,21,0.6176,1.5432,STABLE,21.0000
IN_DOWN|IN_DOWN,32,IN_DOWN,19,0.5938,1.6150,UNSTABLE,19.0000
OUT_DOWN|IN_DOWN,10,IN_DOWN,10,1.0000,0.0000,STABLE,10.0000
OUT_UP|IN_UP,8,IN_UP,8,1.0000,0.0000,STABLE,8.0000
|OUT_DOWN,6,IN_DOWN,6,1.0000,0.0000,STABLE,6.0000
IN_DOWN|IN_UP,5,IN_UP,5,1.0000,0.0000,STABLE,5.0000
IN_UP|,6,OUT_DOWN,4,0.6667,0.9183,STABLE,4.0000
|OUT_UP,4,IN_UP,4,1.0000,0.0000,UNSTABLE,4.0000
IN_DOWN|OUT_DOWN,4,IN_DOWN,4,1.0000,0.0000,UNSTABLE,4.0000
IN_UP|OUT_UP,4,IN_UP,4,1.0000,0.0000,UNSTABLE,4.0000
|,7,OUT_UP,3,0.4286,1.5567,UNSTABLE,3.0000
IN_DOWN|,4,,3,0.7500,0.8113,UNSTABLE,3.0000
IN_UP|IN_DOWN,3,IN_DOWN,3,1.0000,0.0000,UNSTABLE,3.0000
