prev_2,next,count,total_context_count,prob_next_given_prev2
|,OUT_UP,3,7,0.4286
|,,2,7,0.2857
|,OUT_DOWN,2,7,0.2857
|OUT_DOWN,IN_DOWN,6,6,1.0000
|OUT_UP,IN_UP,4,4,1.0000
IN_DOWN|,,3,4,0.7500
IN_DOWN|,OUT_UP,1,4,0.2500
IN_DOWN|IN_DOWN,IN_DOWN,19,32,0.5938
IN_DOWN|IN_DOWN,IN_UP,5,32,0.1562
IN_DOWN|IN_DOWN,,4,32,0.1250
IN_DOWN|IN_DOWN,OUT_DOWN,4,32,0.1250
IN_DOWN|IN_UP,IN_UP,5,5,1.0000
IN_DOWN|OUT_DOWN,IN_DOWN,4,4,1.0000
IN_UP|,OUT_DOWN,4,6,0.6667
IN_UP|,,2,6,0.3333
IN_UP|IN_DOWN,IN_DOWN,3,3,1.0000
IN_UP|IN_UP,IN_UP,21,34,0.6176
IN_UP|IN_UP,,6,34,0.1765
IN_UP|IN_UP,OUT_UP,4,34,0.1176
IN_UP|IN_UP,IN_DOWN,3,34,0.0882
IN_UP|OUT_UP,IN_UP,4,4,1.0000
OUT_DOWN|IN_DOWN,IN_DOWN,10,10,1.0000
OUT_UP|IN_UP,IN_UP,8,8,1.0000
