prev_2,train_count,train_top_next,train_top_prob,recent_count,recent_top_next,recent_top_prob,recent_hit_rate_of_train_top,top_next_drift
IN_UP|IN_UP,25,IN_UP,0.6400,9,IN_UP,0.5556,0.5556,UNCHANGED
IN_DOWN|IN_DOWN,19,IN_DOWN,0.5789,11,IN_DOWN,0.5455,0.5455,UNCHANGED
OUT_DOWN|IN_DOWN,7,IN_DOWN,1.0000,3,IN_DOWN,1.0000,1.0000,UNCHANGED
OUT_UP|IN_UP,6,IN_UP,1.0000,2,IN_UP,1.0000,1.0000,UNCHANGED
|,6,OUT_UP,0.5000,1,OUT_DOWN,1.0000,0.0000,CHANGED
IN_UP|,5,OUT_DOWN,0.6000,1,OUT_DOWN,1.0000,1.0000,UNCHANGED
|OUT_DOWN,4,IN_DOWN,1.0000,2,IN_DOWN,1.0000,1.0000,UNCHANGED
|OUT_UP,4,IN_UP,1.0000,0,,0.0000,0.0000,N/A
IN_DOWN|IN_UP,3,IN_UP,1.0000,2,IN_UP,1.0000,1.0000,UNCHANGED
IN_DOWN|OUT_DOWN,3,IN_DOWN,1.0000,1,IN_DOWN,1.0000,1.0000,UNCHANGED
IN_DOWN|,2,OUT_UP,0.5000,2,,1.0000,0.0000,N/A
IN_UP|OUT_UP,2,IN_UP,1.0000,2,IN_UP,1.0000,1.0000,UNCHANGED
IN_UP|IN_DOWN,2,IN_DOWN,1.0000,1,IN_DOWN,1.0000,1.0000,UNCHANGED
