rule,prev_2,predicted_next,confidence,count,strength
IF IN_UP|IN_UP THEN IN_UP,IN_UP|IN_UP,IN_UP,0.6176,34,MODERATE
IF IN_DOWN|IN_DOWN THEN IN_DOWN,IN_DOWN|IN_DOWN,IN_DOWN,0.5938,32,WEAK
IF OUT_DOWN|IN_DOWN THEN IN_DOWN,OUT_DOWN|IN_DOWN,IN_DOWN,1.0000,10,STRONG
IF OUT_UP|IN_UP THEN IN_UP,OUT_UP|IN_UP,IN_UP,1.0000,8,STRONG
IF |OUT_DOWN THEN IN_DOWN,|OUT_DOWN,IN_DOWN,1.0000,6,STRONG
IF IN_DOWN|IN_UP THEN IN_UP,IN_DOWN|IN_UP,IN_UP,1.0000,5,STRONG
IF IN_UP| THEN OUT_DOWN,IN_UP|,OUT_DOWN,0.6667,6,MODERATE
IF |OUT_UP THEN IN_UP,|OUT_UP,IN_UP,1.0000,4,WEAK
IF IN_DOWN|OUT_DOWN THEN IN_DOWN,IN_DOWN|OUT_DOWN,IN_DOWN,1.0000,4,WEAK
IF IN_UP|OUT_UP THEN IN_UP,IN_UP|OUT_UP,IN_UP,1.0000,4,WEAK
IF | THEN OUT_UP,|,OUT_UP,0.4286,7,WEAK
IF IN_DOWN| THEN ,IN_DOWN|,,0.7500,4,WEAK
IF IN_UP|IN_DOWN THEN IN_DOWN,IN_UP|IN_DOWN,IN_DOWN,1.0000,3,WEAK
