prev_2,next,count,total_context_count,prob_next_given_prev2
INVALID|INVALID,INVALID,5,13,0.3846
INVALID|INVALID,OUT_DOWN,4,13,0.3077
INVALID|INVALID,OUT_UP,4,13,0.3077
INVALID|OUT_DOWN,IN_DOWN,7,7,1.0000
INVALID|OUT_UP,IN_UP,5,5,1.0000
IN_DOWN|INVALID,INVALID,4,5,0.8000
IN_DOWN|INVALID,OUT_UP,1,5,0.2000
IN_DOWN|IN_DOWN,IN_DOWN,18,32,0.5625
IN_DOWN|IN_DOWN,INVALID,5,32,0.1562
IN_DOWN|IN_DOWN,IN_UP,5,32,0.1562
IN_DOWN|IN_DOWN,OUT_DOWN,4,32,0.1250
IN_DOWN|IN_UP,IN_UP,5,5,1.0000
IN_DOWN|OUT_DOWN,IN_DOWN,4,4,1.0000
IN_UP|INVALID,INVALID,3,6,0.5000
IN_UP|INVALID,OUT_DOWN,3,6,0.5000
IN_UP|IN_DOWN,IN_DOWN,3,3,1.0000
IN_UP|IN_UP,IN_UP,18,30,0.6000
IN_UP|IN_UP,INVALID,7,30,0.2333
IN_UP|IN_UP,IN_DOWN,3,30,0.1000
IN_UP|IN_UP,OUT_UP,2,30,0.0667
IN_UP|OUT_UP,IN_UP,2,2,1.0000
OUT_DOWN|IN_DOWN,IN_DOWN,11,11,1.0000
OUT_UP|IN_UP,IN_UP,7,7,1.0000
