prev_2,total_context_count,top_next,top_next_count,top_next_prob,entropy,stability,score_count_x_prob
IN_DOWN|IN_DOWN,32,IN_DOWN,18,0.5625,1.6788,UNSTABLE,18.0000
IN_UP|IN_UP,30,IN_UP,18,0.6000,1.5247,STABLE,18.0000
OUT_DOWN|IN_DOWN,11,IN_DOWN,11,1.0000,0.0000,STABLE,11.0000
INVALID|OUT_DOWN,7,IN_DOWN,7,1.0000,0.0000,STABLE,7.0000
OUT_UP|IN_UP,7,IN_UP,7,1.0000,0.0000,STABLE,7.0000
INVALID|INVALID,13,INVALID,5,0.3846,1.5766,UNSTABLE,5.0000
INVALID|OUT_UP,5,IN_UP,5,1.0000,0.0000,STABLE,5.0000
IN_DOWN|IN_UP,5,IN_UP,5,1.0000,0.0000,STABLE,5.0000
IN_DOWN|INVALID,5,INVALID,4,0.8000,0.7219,STABLE,4.0000
IN_DOWN|OUT_DOWN,4,IN_DOWN,4,1.0000,0.0000,UNSTABLE,4.0000
IN_UP|INVALID,6,INVALID,3,0.5000,1.0000,UNSTABLE,3.0000
IN_UP|IN_DOWN,3,IN_DOWN,3,1.0000,0.0000,UNSTABLE,3.0000
IN_UP|OUT_UP,2,IN_UP,2,1.0000,0.0000,UNSTABLE,2.0000
