rule,prev_2,predicted_next,confidence,count,strength
IF IN_DOWN|IN_DOWN THEN IN_DOWN,IN_DOWN|IN_DOWN,IN_DOWN,0.5625,32,WEAK
IF IN_UP|IN_UP THEN IN_UP,IN_UP|IN_UP,IN_UP,0.6000,30,MODERATE
IF OUT_DOWN|IN_DOWN THEN IN_DOWN,OUT_DOWN|IN_DOWN,IN_DOWN,1.0000,11,STRONG
IF INVALID|OUT_DOWN THEN IN_DOWN,INVALID|OUT_DOWN,IN_DOWN,1.0000,7,STRONG
IF OUT_UP|IN_UP THEN IN_UP,OUT_UP|IN_UP,IN_UP,1.0000,7,STRONG
IF INVALID|INVALID THEN INVALID,INVALID|INVALID,INVALID,0.3846,13,WEAK
IF INVALID|OUT_UP THEN IN_UP,INVALID|OUT_UP,IN_UP,1.0000,5,STRONG
IF IN_DOWN|IN_UP THEN IN_UP,IN_DOWN|IN_UP,IN_UP,1.0000,5,STRONG
IF IN_DOWN|INVALID THEN INVALID,IN_DOWN|INVALID,INVALID,0.8000,5,STRONG
IF IN_DOWN|OUT_DOWN THEN IN_DOWN,IN_DOWN|OUT_DOWN,IN_DOWN,1.0000,4,WEAK
IF IN_UP|INVALID THEN INVALID,IN_UP|INVALID,INVALID,0.5000,6,WEAK
IF IN_UP|IN_DOWN THEN IN_DOWN,IN_UP|IN_DOWN,IN_DOWN,1.0000,3,WEAK
IF IN_UP|OUT_UP THEN IN_UP,IN_UP|OUT_UP,IN_UP,1.0000,2,WEAK
