published_date,open,high,low,Close,per_change,traded_quantity,traded_amount,status,Date,ema_short,ema_long,ema_diff,ema_cross
2020-07-09,331.0,364.0,331.0,364.0,0.0,230.0,82440.0,0,2020-07-09,364.0,364.0,0.0,0
2020-07-12,371.0,400.0,371.0,400.0,9.89,260.0,103250.0,1,2020-07-12,371.2,367.7894736842105,3.4105263157894683,1
2020-07-13,408.0,440.0,408.0,440.0,10.0,400.0,175200.0,1,2020-07-13,384.96,375.39058171745154,9.56941828254844,0
2020-07-14,448.0,484.0,448.0,484.0,10.0,250.0,119810.0,1,2020-07-14,404.76800000000003,386.823152062983,17.944847937017016,0
2020-07-15,508.0,532.0,508.0,532.0,9.92,1050.0,558180.0,1,2020-07-15,430.21440000000007,402.10492553003746,28.109474469962606,0
2020-07-16,542.0,585.0,542.0,585.0,9.96,1170.0,683360.0,1,2020-07-16,461.1715200000001,421.35703863213877,39.81448136786133,0
2020-07-19,614.0,626.0,614.0,626.0,7.01,20.0,12400.0,1,2020-07-19,494.1372160000001,442.89840298665047,51.23881301334961,0
2020-07-20,657.0,688.0,657.0,688.0,9.9,8160.0,5611680.0,1,2020-07-20,532.9097728,468.69857109331883,64.21120170668121,0
2020-07-21,722.0,756.0,722.0,756.0,9.88,38948.0,29340328.0,1,2020-07-21,577.5278182400001,498.9408267677063,78.58699147229379,0
2020-07-22,793.0,831.0,793.0,805.0,6.48,221826.0,181584816.0,1,2020-07-22,623.0222545920001,531.1575818447899,91.8646727472102,0
2020-07-23,820.0,820.0,781.0,793.0,-1.49,89223.0,70704096.0,-1,2020-07-23,657.0178036736002,558.7199416506015,98.29786202299863,0
2020-07-26,795.0,795.0,775.0,781.0,-1.51,80655.0,62925156.0,-1,2020-07-26,681.8142429388802,582.1178425294855,99.69640040939464,0
2020-07-27,780.0,855.0,780.0,821.0,5.12,96139.0,77920088.0,1,2020-07-27,709.6513943511042,607.2633327895397,102.38806156156443,0
2020-07-28,811.0,839.0,810.0,830.0,1.1,59825.0,49478792.0,1,2020-07-28,733.7211154808833,630.7092977590619,103.01181772182144,0
2020-07-29,840.0,840.0,807.0,812.0,-2.17,53350.0,43768120.0,-1,2020-07-29,749.3768923847067,649.7925295738975,99.58436281080924,0
2020-07-30,812.0,820.0,800.0,806.0,-0.74,44120.0,35646808.0,-1,2020-07-30,760.7015139077654,666.2354211976977,94.46609271006764,0
2020-08-02,810.0,810.0,783.0,787.0,-2.36,52090.0,41116160.0,-1,2020-08-02,765.9612111262123,678.9474821242559,87.01372900195645,0
2020-08-03,775.0,799.0,772.0,787.0,0.0,29520.0,23091984.0,0,2020-08-03,770.1689689009698,690.3214313743342,79.84753752663562,0
2020-08-05,785.0,785.0,768.0,770.0,-2.16,33236.0,25656934.0,-1,2020-08-05,770.1351751207759,698.7086491244044,71.42652599637154,0
2020-08-06,775.0,775.0,760.0,763.0,-0.91,27895.0,21309064.0,-1,2020-08-06,768.7081400966208,705.4761597428881,63.23198035373275,0
2020-08-09,755.0,764.0,730.0,756.0,-0.92,43385.0,32388976.0,-1,2020-08-09,766.1665120772967,710.7944587173209,55.37205335997578,0
2020-08-10,742.0,795.0,742.0,793.0,4.89,34851.0,26764632.0,1,2020-08-10,771.5332096618374,719.4476735891819,52.085536072655486,0
2020-08-11,793.0,793.0,772.0,778.0,-1.89,30656.0,23869104.0,-1,2020-08-11,772.82656772947,725.611076369268,47.21549136020201,0
2020-08-12,775.0,780.0,765.0,767.0,-1.41,26710.0,20570024.0,-1,2020-08-12,771.661254183576,729.9678051725028,41.6934490110732,0
2020-08-13,753.0,770.0,753.0,759.0,-1.04,30385.0,23114275.0,-1,2020-08-13,769.1290033468608,733.0238256806604,36.10517766620046,0
2021-03-31,780.0,795.0,780.0,795.0,4.74,239.0,188336.0,1,2021-03-31,774.3032026774887,739.5476335037488,34.7555691737399,0
2021-04-01,834.0,874.0,834.0,874.0,9.94,451.0,391934.0,1,2021-04-01,794.2425621419909,753.7005141875647,40.54204795442615,0
