index,date,price,type,cross_type
58,2021-05-19,1798.0,high,seed
92,2021-07-07,1499.0,low,bear
110,2021-08-03,1697.0,high,bull
159,2021-10-21,1063.0,low,bear
166,2021-11-01,1313.0,high,bull
193,2021-12-13,952.0,low,bear
215,2022-01-16,1300.0,high,bull
319,2022-06-23,769.9,low,bear
327,2022-07-03,938.0,high,bull
334,2022-07-12,814.0,low,bear
353,2022-08-03,954.7,high,bull
394,2022-09-27,698.0,low,bear
411,2022-11-06,778.0,high,bull
418,2022-11-15,706.1,low,bear
426,2022-11-29,748.0,high,bull
438,2022-12-18,697.0,low,bear
453,2023-01-09,852.0,high,bull
531,2023-05-14,520.0,low,bear
561,2023-06-27,773.3,high,bull
615,2023-09-17,629.0,low,bear
619,2023-09-24,695.0,high,bull
641,2023-11-02,574.0,low,bear
667,2023-12-18,678.0,high,bull
678,2024-01-07,610.0,low,bear
684,2024-01-16,661.0,high,bull
716,2024-03-03,526.0,low,bear
746,2024-04-21,700.7,high,bull
791,2024-06-30,630.0,low,bear
821,2024-08-12,869.0,high,bull
850,2024-09-29,666.0,low,bear
859,2024-10-16,752.9,high,bull
866,2024-10-27,700.0,low,bear
877,2024-11-17,757.4,high,bull
908,2025-01-05,645.2,low,bear
936,2025-02-17,734.8,high,bull
985,2025-05-06,607.9,low,bear
997,2025-05-25,654.21,high,bull
1019,2025-06-26,605.11,low,bear
1037,2025-07-22,754.36,high,bull
1084,2025-10-16,537.0,low,bear
1108,2025-11-26,581.0,high,bull
1123,2025-12-18,546.0,low,bear
1144,2026-01-25,595.0,high,bull
1161,2026-02-22,546.5,low,bear
1168,2026-03-09,589.5,high,bull
