index,price,type,date,pattern_role,classification,trend_type,point_label
0,1798.0,HIGH,2021-05-19,0,OUT,DOWNTREND,OUT_DOWN
1,1499.0,LOW,2021-07-07,1,IN,DOWNTREND,IN_DOWN
2,1697.0,HIGH,2021-08-03,0,IN,DOWNTREND,IN_DOWN
3,1063.0,LOW,2021-10-21,1,IN,DOWNTREND,IN_DOWN
4,1313.0,HIGH,2021-11-01,0,IN,DOWNTREND,IN_DOWN
5,952.0,LOW,2021-12-13,3,IN,DOWNTREND,IN_DOWN
6,1300.0,HIGH,2022-01-16,2,IN,DOWNTREND,IN_DOWN
7,769.9,LOW,2022-06-23,0,IN,UPTREND,IN_UP
8,938.0,HIGH,2022-07-03,1,IN,UPTREND,IN_UP
9,814.0,LOW,2022-07-12,2,IN,UPTREND,IN_UP
10,954.7,HIGH,2022-08-03,3,IN,UPTREND,IN_UP
11,698.0,LOW,2022-09-27,,,,
12,778.0,HIGH,2022-11-06,0,OUT,DOWNTREND,OUT_DOWN
13,706.1,LOW,2022-11-15,1,IN,DOWNTREND,IN_DOWN
14,748.0,HIGH,2022-11-29,2,IN,DOWNTREND,IN_DOWN
15,697.0,LOW,2022-12-18,3,IN,DOWNTREND,IN_DOWN
16,852.0,HIGH,2023-01-09,,,,
17,520.0,LOW,2023-05-14,,,,
18,773.3,HIGH,2023-06-27,0,OUT,DOWNTREND,OUT_DOWN
19,629.0,LOW,2023-09-17,1,IN,DOWNTREND,IN_DOWN
20,695.0,HIGH,2023-09-24,2,IN,DOWNTREND,IN_DOWN
21,574.0,LOW,2023-11-02,3,IN,DOWNTREND,IN_DOWN
22,678.0,HIGH,2023-12-18,0,OUT,DOWNTREND,OUT_DOWN
23,610.0,LOW,2024-01-07,1,IN,DOWNTREND,IN_DOWN
24,661.0,HIGH,2024-01-16,2,IN,DOWNTREND,IN_DOWN
25,526.0,LOW,2024-03-03,0,IN,UPTREND,IN_UP
26,700.7,HIGH,2024-04-21,1,IN,UPTREND,IN_UP
27,630.0,LOW,2024-06-30,2,IN,UPTREND,IN_UP
28,869.0,HIGH,2024-08-12,3,IN,UPTREND,IN_UP
29,666.0,LOW,2024-09-29,0,OUT,UPTREND,OUT_UP
30,752.9,HIGH,2024-10-16,1,IN,UPTREND,IN_UP
31,700.0,LOW,2024-10-27,2,IN,UPTREND,IN_UP
32,757.4,HIGH,2024-11-17,0,IN,DOWNTREND,IN_DOWN
33,645.2,LOW,2025-01-05,1,IN,DOWNTREND,IN_DOWN
34,734.8,HIGH,2025-02-17,0,IN,DOWNTREND,IN_DOWN
35,607.9,LOW,2025-05-06,3,IN,DOWNTREND,IN_DOWN
36,654.21,HIGH,2025-05-25,2,IN,DOWNTREND,IN_DOWN
37,605.11,LOW,2025-06-26,3,IN,DOWNTREND,IN_DOWN
38,754.36,HIGH,2025-07-22,,,,
39,537.0,LOW,2025-10-16,0,OUT,UPTREND,OUT_UP
40,581.0,HIGH,2025-11-26,1,IN,UPTREND,IN_UP
41,546.0,LOW,2025-12-18,2,IN,UPTREND,IN_UP
42,595.0,HIGH,2026-01-25,3,IN,UPTREND,IN_UP
43,546.5,LOW,2026-02-22,,,,
44,589.5,HIGH,2026-03-09,,,,
