pattern_token,trend_type,idx_0,idx_1,idx_2,idx_3,date_0,date_1,date_2,date_3,date_0_label,date_1_label,date_2_label,date_3_label
OUT_DOWN,DOWNTREND,0,1,2,3,2021-05-19,2021-07-07,2021-08-03,2021-10-21,19 May 2021,07 Jul 2021,03 Aug 2021,21 Oct 2021
IN_DOWN,DOWNTREND,2,3,4,5,2021-08-03,2021-10-21,2021-11-01,2021-12-13,03 Aug 2021,21 Oct 2021,01 Nov 2021,13 Dec 2021
IN_DOWN,DOWNTREND,4,5,6,7,2021-11-01,2021-12-13,2022-01-16,2022-06-23,01 Nov 2021,13 Dec 2021,16 Jan 2022,23 Jun 2022
IN_UP,UPTREND,7,8,9,10,2022-06-23,2022-07-03,2022-07-12,2022-08-03,23 Jun 2022,03 Jul 2022,12 Jul 2022,03 Aug 2022
OUT_DOWN,DOWNTREND,12,13,14,15,2022-11-06,2022-11-15,2022-11-29,2022-12-18,06 Nov 2022,15 Nov 2022,29 Nov 2022,18 Dec 2022
OUT_DOWN,DOWNTREND,18,19,20,21,2023-06-27,2023-09-17,2023-09-24,2023-11-02,27 Jun 2023,17 Sep 2023,24 Sep 2023,02 Nov 2023
OUT_DOWN,DOWNTREND,22,23,24,25,2023-12-18,2024-01-07,2024-01-16,2024-03-03,18 Dec 2023,07 Jan 2024,16 Jan 2024,03 Mar 2024
IN_UP,UPTREND,25,26,27,28,2024-03-03,2024-04-21,2024-06-30,2024-08-12,03 Mar 2024,21 Apr 2024,30 Jun 2024,12 Aug 2024
OUT_UP,UPTREND,29,30,31,32,2024-09-29,2024-10-16,2024-10-27,2024-11-17,29 Sep 2024,16 Oct 2024,27 Oct 2024,17 Nov 2024
IN_DOWN,DOWNTREND,32,33,34,35,2024-11-17,2025-01-05,2025-02-17,2025-05-06,17 Nov 2024,05 Jan 2025,17 Feb 2025,06 May 2025
IN_DOWN,DOWNTREND,34,35,36,37,2025-02-17,2025-05-06,2025-05-25,2025-06-26,17 Feb 2025,06 May 2025,25 May 2025,26 Jun 2025
OUT_UP,UPTREND,39,40,41,42,2025-10-16,2025-11-26,2025-12-18,2026-01-25,16 Oct 2025,26 Nov 2025,18 Dec 2025,25 Jan 2026
