prev_2_a,prev_2_b,next,a_date_0,a_date_3,b_date_0,b_date_3,c_date_0,c_date_3,a_date_0_label,a_date_3_label,b_date_0_label,b_date_3_label,c_date_0_label,c_date_3_label
OUT_DOWN,IN_DOWN,IN_DOWN,2021-05-19,2021-10-21,2021-08-03,2021-12-13,2021-11-01,2022-06-23,19 May 2021,21 Oct 2021,03 Aug 2021,13 Dec 2021,01 Nov 2021,23 Jun 2022
IN_DOWN,IN_DOWN,IN_UP,2021-08-03,2021-12-13,2021-11-01,2022-06-23,2022-06-23,2022-08-03,03 Aug 2021,13 Dec 2021,01 Nov 2021,23 Jun 2022,23 Jun 2022,03 Aug 2022
IN_DOWN,IN_UP,OUT_DOWN,2021-11-01,2022-06-23,2022-06-23,2022-08-03,2022-11-06,2022-12-18,01 Nov 2021,23 Jun 2022,23 Jun 2022,03 Aug 2022,06 Nov 2022,18 Dec 2022
IN_UP,OUT_DOWN,OUT_DOWN,2022-06-23,2022-08-03,2022-11-06,2022-12-18,2023-06-27,2023-11-02,23 Jun 2022,03 Aug 2022,06 Nov 2022,18 Dec 2022,27 Jun 2023,02 Nov 2023
OUT_DOWN,OUT_DOWN,OUT_DOWN,2022-11-06,2022-12-18,2023-06-27,2023-11-02,2023-12-18,2024-03-03,06 Nov 2022,18 Dec 2022,27 Jun 2023,02 Nov 2023,18 Dec 2023,03 Mar 2024
OUT_DOWN,OUT_DOWN,IN_UP,2023-06-27,2023-11-02,2023-12-18,2024-03-03,2024-03-03,2024-08-12,27 Jun 2023,02 Nov 2023,18 Dec 2023,03 Mar 2024,03 Mar 2024,12 Aug 2024
OUT_DOWN,IN_UP,OUT_UP,2023-12-18,2024-03-03,2024-03-03,2024-08-12,2024-09-29,2024-11-17,18 Dec 2023,03 Mar 2024,03 Mar 2024,12 Aug 2024,29 Sep 2024,17 Nov 2024
IN_UP,OUT_UP,IN_DOWN,2024-03-03,2024-08-12,2024-09-29,2024-11-17,2024-11-17,2025-05-06,03 Mar 2024,12 Aug 2024,29 Sep 2024,17 Nov 2024,17 Nov 2024,06 May 2025
OUT_UP,IN_DOWN,IN_DOWN,2024-09-29,2024-11-17,2024-11-17,2025-05-06,2025-02-17,2025-06-26,29 Sep 2024,17 Nov 2024,17 Nov 2024,06 May 2025,17 Feb 2025,26 Jun 2025
IN_DOWN,IN_DOWN,OUT_UP,2024-11-17,2025-05-06,2025-02-17,2025-06-26,2025-10-16,2026-01-25,17 Nov 2024,06 May 2025,17 Feb 2025,26 Jun 2025,16 Oct 2025,25 Jan 2026
