prev_2,train_count,train_top_next,train_top_prob,recent_count,recent_top_next,recent_top_prob,recent_hit_rate_of_train_top,top_next_drift
IN_DOWN|IN_DOWN,10,IN_DOWN,0.6000,5,IN_DOWN,0.8000,0.8000,UNCHANGED
IN_UP|IN_UP,6,IN_UP,0.6667,2,IN_UP,0.5000,0.5000,UNCHANGED
OUT_DOWN|IN_DOWN,4,IN_DOWN,1.0000,0,,0.0000,0.0000,N/A
|OUT_DOWN,2,IN_DOWN,1.0000,0,,0.0000,0.0000,N/A
IN_DOWN|IN_UP,2,IN_UP,1.0000,0,,0.0000,0.0000,N/A
IN_DOWN|,1,,1.0000,1,OUT_UP,1.0000,0.0000,N/A
IN_UP|,1,OUT_DOWN,1.0000,1,,1.0000,0.0000,N/A
|,1,OUT_DOWN,1.0000,0,,0.0000,0.0000,N/A
IN_DOWN|OUT_DOWN,1,IN_DOWN,1.0000,0,,0.0000,0.0000,N/A
IN_UP|OUT_UP,1,IN_UP,1.0000,0,,0.0000,0.0000,N/A
|OUT_UP,0,,0.0000,1,IN_UP,1.0000,0.0000,N/A
IN_UP|IN_DOWN,0,,0.0000,1,IN_DOWN,1.0000,0.0000,N/A
OUT_UP|IN_UP,0,,0.0000,1,IN_UP,1.0000,0.0000,N/A
