prev_2,next,count,total_context_count,prob_next_given_prev2
|,OUT_DOWN,1,1,1.0000
|OUT_DOWN,IN_DOWN,2,2,1.0000
|OUT_UP,IN_UP,1,1,1.0000
IN_DOWN|,,1,2,0.5000
IN_DOWN|,OUT_UP,1,2,0.5000
IN_DOWN|IN_DOWN,IN_DOWN,10,15,0.6667
IN_DOWN|IN_DOWN,,2,15,0.1333
IN_DOWN|IN_DOWN,IN_UP,2,15,0.1333
IN_DOWN|IN_DOWN,OUT_DOWN,1,15,0.0667
IN_DOWN|IN_UP,IN_UP,2,2,1.0000
IN_DOWN|OUT_DOWN,IN_DOWN,1,1,1.0000
IN_UP|,,1,2,0.5000
IN_UP|,OUT_DOWN,1,2,0.5000
IN_UP|IN_DOWN,IN_DOWN,1,1,1.0000
IN_UP|IN_UP,IN_UP,5,9,0.5556
IN_UP|IN_UP,,2,9,0.2222
IN_UP|IN_UP,IN_DOWN,1,9,0.1111
IN_UP|IN_UP,OUT_UP,1,9,0.1111
IN_UP|OUT_UP,IN_UP,1,1,1.0000
OUT_DOWN|IN_DOWN,IN_DOWN,4,4,1.0000
OUT_UP|IN_UP,IN_UP,2,2,1.0000
