prev_2_a,prev_2_b,next_signal,signal_type,count,total_context_count,prob_signal_given_prev2
IN_DOWN,IN_DOWN,IN_DOWN,PATTERN,10,15,0.6667
IN_DOWN,IN_DOWN,IN_UP,PATTERN,2,15,0.1333
IN_DOWN,IN_DOWN,SWING_HIGH,SWING,2,15,0.1333
IN_DOWN,IN_DOWN,OUT_DOWN,PATTERN,1,15,0.0667
IN_DOWN,IN_UP,IN_UP,PATTERN,2,2,1.0000
IN_DOWN,OUT_DOWN,IN_DOWN,PATTERN,1,1,1.0000
IN_UP,IN_DOWN,IN_DOWN,PATTERN,1,1,1.0000
IN_UP,IN_UP,IN_UP,PATTERN,5,9,0.5556
IN_UP,IN_UP,SWING_LOW,SWING,2,9,0.2222
IN_UP,IN_UP,IN_DOWN,PATTERN,1,9,0.1111
IN_UP,IN_UP,OUT_UP,PATTERN,1,9,0.1111
IN_UP,OUT_UP,IN_UP,PATTERN,1,1,1.0000
OUT_DOWN,IN_DOWN,IN_DOWN,PATTERN,4,4,1.0000
OUT_UP,IN_UP,IN_UP,PATTERN,2,2,1.0000
