prev_2_a,prev_2_b,next,date_prev_2_a,date_prev_2_b,date_next,date_completion,date_prev_2_a_label,date_prev_2_b_label,date_next_label,date_completion_label,next_role,completion_role
IN_DOWN,IN_DOWN,IN_DOWN,2021-10-21,2021-11-01,2021-12-13,2021-12-13,21 Oct 2021,01 Nov 2021,13 Dec 2021,13 Dec 2021,3,3
IN_DOWN,IN_DOWN,IN_DOWN,2021-11-01,2021-12-13,2022-01-16,2022-12-18,01 Nov 2021,13 Dec 2021,16 Jan 2022,18 Dec 2022,2,3
IN_DOWN,IN_DOWN,IN_UP,2021-12-13,2022-01-16,2022-06-23,2022-08-03,13 Dec 2021,16 Jan 2022,23 Jun 2022,03 Aug 2022,0,3
IN_DOWN,IN_UP,IN_UP,2022-01-16,2022-06-23,2022-07-03,2022-08-03,16 Jan 2022,23 Jun 2022,03 Jul 2022,03 Aug 2022,1,3
IN_UP,IN_UP,IN_UP,2022-06-23,2022-07-03,2022-07-12,2022-08-03,23 Jun 2022,03 Jul 2022,12 Jul 2022,03 Aug 2022,2,3
IN_UP,IN_UP,IN_UP,2022-07-03,2022-07-12,2022-08-03,2022-08-03,03 Jul 2022,12 Jul 2022,03 Aug 2022,03 Aug 2022,3,3
IN_UP,IN_UP,OUT_DOWN,2022-07-12,2022-08-03,2022-11-06,2022-12-18,12 Jul 2022,03 Aug 2022,06 Nov 2022,18 Dec 2022,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2022-11-06,2022-11-15,2022-11-29,2022-12-18,06 Nov 2022,15 Nov 2022,29 Nov 2022,18 Dec 2022,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2022-11-15,2022-11-29,2022-12-18,2022-12-18,15 Nov 2022,29 Nov 2022,18 Dec 2022,18 Dec 2022,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2022-11-29,2022-12-18,2023-06-27,2023-11-02,29 Nov 2022,18 Dec 2022,27 Jun 2023,02 Nov 2023,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2023-06-27,2023-09-17,2023-09-24,2023-11-02,27 Jun 2023,17 Sep 2023,24 Sep 2023,02 Nov 2023,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2023-09-17,2023-09-24,2023-11-02,2023-11-02,17 Sep 2023,24 Sep 2023,02 Nov 2023,02 Nov 2023,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2023-09-24,2023-11-02,2023-12-18,2025-05-06,24 Sep 2023,02 Nov 2023,18 Dec 2023,06 May 2025,0,3
IN_DOWN,OUT_DOWN,IN_DOWN,2023-11-02,2023-12-18,2024-01-07,2025-05-06,02 Nov 2023,18 Dec 2023,07 Jan 2024,06 May 2025,1,3
OUT_DOWN,IN_DOWN,IN_DOWN,2023-12-18,2024-01-07,2024-01-16,2025-05-06,18 Dec 2023,07 Jan 2024,16 Jan 2024,06 May 2025,2,3
IN_DOWN,IN_DOWN,IN_UP,2024-01-07,2024-01-16,2024-03-03,2024-08-12,07 Jan 2024,16 Jan 2024,03 Mar 2024,12 Aug 2024,0,3
IN_DOWN,IN_UP,IN_UP,2024-01-16,2024-03-03,2024-04-21,2024-08-12,16 Jan 2024,03 Mar 2024,21 Apr 2024,12 Aug 2024,1,3
IN_UP,IN_UP,IN_UP,2024-03-03,2024-04-21,2024-06-30,2024-08-12,03 Mar 2024,21 Apr 2024,30 Jun 2024,12 Aug 2024,2,3
IN_UP,IN_UP,IN_UP,2024-04-21,2024-06-30,2024-08-12,2024-08-12,21 Apr 2024,30 Jun 2024,12 Aug 2024,12 Aug 2024,3,3
IN_UP,IN_UP,OUT_UP,2024-06-30,2024-08-12,2024-09-29,2026-01-25,30 Jun 2024,12 Aug 2024,29 Sep 2024,25 Jan 2026,0,3
IN_UP,OUT_UP,IN_UP,2024-08-12,2024-09-29,2024-10-16,2026-01-25,12 Aug 2024,29 Sep 2024,16 Oct 2024,25 Jan 2026,1,3
OUT_UP,IN_UP,IN_UP,2024-09-29,2024-10-16,2024-10-27,2026-01-25,29 Sep 2024,16 Oct 2024,27 Oct 2024,25 Jan 2026,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-01-05,2025-02-17,2025-05-06,2025-05-06,05 Jan 2025,17 Feb 2025,06 May 2025,06 May 2025,3,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-02-17,2025-05-06,2025-05-25,2025-06-26,17 Feb 2025,06 May 2025,25 May 2025,26 Jun 2025,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2025-05-06,2025-05-25,2025-06-26,2025-06-26,06 May 2025,25 May 2025,26 Jun 2025,26 Jun 2025,3,3
IN_DOWN,IN_DOWN,OUT_UP,2025-05-25,2025-06-26,2025-10-16,2026-01-25,25 May 2025,26 Jun 2025,16 Oct 2025,25 Jan 2026,0,3
OUT_UP,IN_UP,IN_UP,2025-10-16,2025-11-26,2025-12-18,2026-01-25,16 Oct 2025,26 Nov 2025,18 Dec 2025,25 Jan 2026,2,3
IN_UP,IN_UP,IN_UP,2025-11-26,2025-12-18,2026-01-25,2026-01-25,26 Nov 2025,18 Dec 2025,25 Jan 2026,25 Jan 2026,3,3
