prev_2,total_context_count,top_next,top_next_count,top_next_prob,entropy,stability,score_count_x_prob
IN_DOWN|IN_DOWN,15,IN_DOWN,10,0.6667,1.4256,STABLE,10.0000
IN_UP|IN_UP,9,IN_UP,5,0.5556,1.6577,UNSTABLE,5.0000
OUT_DOWN|IN_DOWN,4,IN_DOWN,4,1.0000,0.0000,UNSTABLE,4.0000
|OUT_DOWN,2,IN_DOWN,2,1.0000,0.0000,UNSTABLE,2.0000
IN_DOWN|IN_UP,2,IN_UP,2,1.0000,0.0000,UNSTABLE,2.0000
OUT_UP|IN_UP,2,IN_UP,2,1.0000,0.0000,UNSTABLE,2.0000
IN_DOWN|,2,,1,0.5000,1.0000,UNSTABLE,1.0000
IN_UP|,2,OUT_DOWN,1,0.5000,1.0000,UNSTABLE,1.0000
|,1,OUT_DOWN,1,1.0000,0.0000,UNSTABLE,1.0000
|OUT_UP,1,IN_UP,1,1.0000,0.0000,UNSTABLE,1.0000
IN_DOWN|OUT_DOWN,1,IN_DOWN,1,1.0000,0.0000,UNSTABLE,1.0000
IN_UP|IN_DOWN,1,IN_DOWN,1,1.0000,0.0000,UNSTABLE,1.0000
IN_UP|OUT_UP,1,IN_UP,1,1.0000,0.0000,UNSTABLE,1.0000
