rule,prev_2,predicted_next,confidence,count,strength
IF IN_DOWN|IN_DOWN THEN IN_DOWN,IN_DOWN|IN_DOWN,IN_DOWN,0.6667,15,MODERATE
IF IN_UP|IN_UP THEN IN_UP,IN_UP|IN_UP,IN_UP,0.5556,9,WEAK
IF OUT_DOWN|IN_DOWN THEN IN_DOWN,OUT_DOWN|IN_DOWN,IN_DOWN,1.0000,4,WEAK
IF |OUT_DOWN THEN IN_DOWN,|OUT_DOWN,IN_DOWN,1.0000,2,WEAK
IF IN_DOWN|IN_UP THEN IN_UP,IN_DOWN|IN_UP,IN_UP,1.0000,2,WEAK
IF OUT_UP|IN_UP THEN IN_UP,OUT_UP|IN_UP,IN_UP,1.0000,2,WEAK
IF IN_DOWN| THEN ,IN_DOWN|,,0.5000,2,WEAK
IF IN_UP| THEN OUT_DOWN,IN_UP|,OUT_DOWN,0.5000,2,WEAK
IF | THEN OUT_DOWN,|,OUT_DOWN,1.0000,1,WEAK
IF |OUT_UP THEN IN_UP,|OUT_UP,IN_UP,1.0000,1,WEAK
IF IN_DOWN|OUT_DOWN THEN IN_DOWN,IN_DOWN|OUT_DOWN,IN_DOWN,1.0000,1,WEAK
IF IN_UP|IN_DOWN THEN IN_DOWN,IN_UP|IN_DOWN,IN_DOWN,1.0000,1,WEAK
IF IN_UP|OUT_UP THEN IN_UP,IN_UP|OUT_UP,IN_UP,1.0000,1,WEAK
